	LOS	MCCOS
1	38.06	0.00000000
2	11230.50	0.00001667
3	875.30	0.00415180
4	5752.05	0.00001667
5	1449.15	0.00549888
6	1307.76	0.00001667
7	1756.93	0.00231020
8	261.56	0.00000000
9	1071.33	0.00306603
10	1336.02	0.00310520
11	261.56	0.00000000
12	959.43	0.00287034
13	4382.98	0.00437596
14	10449.04	0.00001667
15	942.78	0.00294091
16*	451.09	0.00662317
17	546.77	0.00203848
18	8073.75	0.00458442
19	4087.48	0.00707737
20	80.18	0.00010874
21*	376.85	0.00309664
22	261.56	0.00000000
23	2289.89	0.00523728
24	523.11	0.00001667
25	53.06	0.00000000
26	1952.51	0.00173646
27	4996.11	0.00817929
28	7057.97	0.00001667
29	45.28	0.02425187
30	13051.99	0.00001667
31	464.48	0.04240886
32	471.98	0.09811694
33	90.52	0.03962612
